User Story,Requirement Source (US/AC),System Requirement (SR),Category,Design Component (DC),Notes
1,Busy Homeowner,,,,
1.1,"AC: Detect and collect leaves, small debris, and lightweight trash.",SR-COLLECT-01: The robot must be capable of identifying and physically collecting common outdoor debris.,Collection,DC-M-01: Intake/Collection Mechanism (Brush Rollers & Suction) + DC-S-01: Vision System (Object Detection Model),
1.2,AC: Operate autonomously during scheduled hours.,SR-AUTO-01: The system must support user-defined scheduling for autonomous operation.,Autonomy,DC-SW-01: Scheduler/Mission Control Module (Real-Time OS Task),
1.3,"AC: Navigate safely around obstacles (vehicles, garden decor, pets, etc.).",SR-NAV-01: The robot must implement obstacle avoidance using sensors to safely navigate around dynamic and static barriers.,Navigation,DC-S-02: Obstacle Sensor Suite (LIDAR or Ultrasonic) + DC-A-01: Path Planning Algorithm (DWA or RRT),
1.4,AC: Return to a charging dock automatically when finished or low on power.,SR-PWR-01: The robot must be able to automatically return to a designated charging or docking station upon completion or low power.,Power/Docking,DC-S-03: Docking Beacon/IR Sensor + DC-HW-01: Battery Management System (BMS),
1.5,AC: Provide a notification or status update when cleanup is complete.,SR-UI-01: The system must provide users with cleanup status notifications via a mobile/web interface.,User Interface,DC-COMM-01: Wi-Fi/Cellular Communication Module + DC-SW-02: Status Reporting API,Also covers AC 4.3
2,Beach Security Officer,,,,
2.1,"AC: Detect and safely collect glass, plastic, metal, and other hazardous items.",SR-COLLECT-02: The collection mechanism must be robust enough to safely handle and contain heavier/harder debris.,Collection,DC-M-02: Robust Intake System & Reinforced Waste Bin Liner,
2.2,AC: Operate within designated zones without interfering with beachgoers or restricted areas.,SR-GEO-01: The robot must operate within user-defined geo-fenced boundaries and cease operation if it attempts to leave.,Navigation,DC-S-04: GPS Module + DC-A-02: Geo-Fencing Algorithm,
2.3,AC: Send real-time location and activity updates to security monitoring systems.,"SR-UI-02: The system must transmit real-time operational data (location, status) accessible by a central monitoring system.",User Interface,DC-COMM-02: Real-time Telemetry Link + DC-SW-03: Monitoring Dashboard API,
2.4,AC: Automatically pauses or reroutes if human presence or wildlife is detected nearby.,SR-NAV-02: The robot must detect and temporarily adjust its path or pause operation when human presence or wildlife is in close proximity.,Navigation,DC-S-05: High-Resolution Cameras/Vision System + DC-A-03: People/Animal Detection Model (ML),
2.5,AC: Return to a secure docking station for maintenance or charging.,SR-PWR-02: The docking station must be physically secure and accessible only by authorized personnel.,Power/Docking,DC-HW-02: Docking Station Physical Security (Lock/Access Control),
3,Environmentalist Group,,,,
3.1,"AC: Identify and sort collected debris (plastic, paper, glass, organic).",SR-COLLECT-03: The robot must incorporate a mechanism for on-board sorting of collected debris based on material type.,Collection,DC-M-03: On-board Sorting Mechanism (Mechanical Arms/Conveyor) + DC-S-06: Material Sensor Array (IR/Spectroscopy),Also covers AC 5.1
3.2,AC: Operate using solar or rechargeable power to minimize environmental footprint.,"SR-PWR-03: The robot must be powered by a rechargeable battery system, with the option for supplementary solar charging.",Power/Docking,DC-HW-03: Solar Panel Array + DC-HW-04: High-Capacity Lithium Battery,
3.3,"AC: Avoid disrupting natural habitats, nests, or marine life near the shoreline.",SR-ENV-01: The robot's movement and collection methods must be designed to avoid physical disturbance of ecologically sensitive areas.,Environmental,DC-M-04: Low Ground-Pressure Chassis Design (Wide Tires/Tracks),
3.4,AC: Provide daily cleanup reports with data on waste types and volumes collected.,SR-DATA-01: The system must generate daily reports detailing the type and estimated volume of collected debris.,Data/Reporting,DC-SW-04: Data Logging and Report Generation Module,
3.5,AC: Integrate with an environmental dashboard for long-term trend analysis.,"SR-DATA-02: The collected data must be exportable in a standard format (e.g., JSON, CSV).",Data/Reporting,DC-SW-05: Data Export API (for external dashboard integration),
4,Groundskeeper,,,,
4.1,AC: Identify and collect small trash items and debris.,(Covered by SR-COLLECT-01),Collection,"(Covered by DC-M-01, DC-S-01)",Cross-reference AC 1.1
4.2,AC: Operate autonomously during selected hours.,(Covered by SR-AUTO-01),Autonomy,(Covered by DC-SW-01),Cross-reference AC 1.2
4.3,AC: Notify the user when cleanup is complete.,(Covered by SR-UI-01),User Interface,(Covered by DC-SW-02),Cross-reference AC 1.5
4.4,AC: Operate within designated areas and avoids running over gardens and flowerbeds.,SR-GEO-02: The robot must have the capability to map and identify prohibited areas and navigate to exclude them from the cleaning route.,Navigation,DC-A-04: Exclusion Zone Mapping Algorithm (User-defined map input),
5,President of Howard University,,,,
5.1,AC: The robot will be able to identify and sort trash and debris.,(Covered by SR-COLLECT-03),Collection,"(Covered by DC-M-03, DC-S-06)",Cross-reference AC 3.1
5.2,AC: It can operate autonomously during selected hours.,(Covered by SR-AUTO-01),Autonomy,(Covered by DC-SW-01),Cross-reference AC 1.2
5.3,AC: It can navigate the area and can move between two different terrains.,SR-MECH-01: The physical design must allow for smooth transition and reliable operation across varied outdoor terrains.,Mechanical,DC-M-05: All-Terrain Drive System (High-Torque Motors & Independent Suspension),
5.4,AC: It operates in the designated area and can avoid bumping into things and people.,(Covered by SR-GEO-01 and SR-NAV-01),Navigation,"(Covered by DC-S-04, DC-A-02, DC-S-02, DC-A-01)",Cross-reference AC 2.2 and AC 1.3